0.05	0.05	0.07	0.10	0.18	0.33	0.55	0.75	0.87	0.92	
0.06	0.05	0.06	0.07	0.10	0.18	0.34	0.57	0.76	0.87	
0.08	0.06	0.05	0.06	0.07	0.11	0.19	0.36	0.59	0.77	
0.13	0.08	0.06	0.06	0.06	0.07	0.11	0.20	0.37	0.60	
0.24	0.14	0.09	0.06	0.06	0.06	0.08	0.12	0.21	0.39	
0.41	0.24	0.14	0.09	0.07	0.06	0.06	0.08	0.12	0.22	
0.62	0.42	0.25	0.14	0.09	0.07	0.06	0.06	0.08	0.13	
0.77	0.63	0.43	0.26	0.15	0.09	0.07	0.06	0.07	0.09	
0.86	0.78	0.64	0.44	0.27	0.15	0.10	0.07	0.06	0.07	
0.90	0.86	0.78	0.64	0.45	0.27	0.16	0.10	0.07	0.06	
